plot_ref;WD
RAB01h;0,661041717
RAB02h;0,677997226
RAB03h;0,644401004
RAB04h;0,645410994
RAB05h;0,623710968
RAB06h;0,642725861
RAB07h;0,712854621
RAB08h;0,662886848
RAB09h;0,632924835
RAB10h;0,654281737
RAB11h;0,647456918
RAB12h;0,622537955
RAB13h;0,61067074
RAB14h;0,661744
RAB15h;0,64358294
RAB16h;0,654285547
RAB17h;0,662039721
RAB18h;0,652341983
RAB19h;0,616570171
RAB20h;0,650165805
RAB21h;0,661080554
RAB22h;0,607976629
RAB23h;0,687232915
RAB24h;0,683217449
RAB25h;0,629980683
MNG03h;0,490477779
MNG04h;0,609866798
MON01h;0,472630752
MON02h;0,624997419
MON03h;0,462820502
MON05h;0,499489086
MON09h;0,465363709
MON10h;0,518200907
MON11h;0,480760245
MON13h;0,598951038
MON14h;0,435488473
MON19h;0,510726718
MON20h;0,456014439
MON21h;0,543737279
MON21Ah;0,532292938
MON22h;0,684806432
MON23h;0,474367745
MND01q1;0,410055765
MND01q2;0,404393991
MND01q3;0,392896059
MND01q4;0,402570535
MND02q1;0,539027638
MND02q2;0,500255262
MND02q3;0,442782855
MND02q4;0,436114034
MNG03q1;0,47737436
MNG03q2;0,475302308
MNG03q3;0,504776135
MNG03q4;0,50916764
MNG04q1;0,596705786
MNG04q2;0,607485574
MNG04q3;0,574198056
MNG04q4;0,661473799
MON01q1;0,514630564
MON01q2;0,461091067
MON01q3;0,488090112
MON01q4;0,454362289
MON02q1;0,559751302
MON02q2;0,532644052
MON02q3;0,696362948
MON02q4;0,564782686
MON03q1;0,514963725
MON03q2;0,404644368
MON03q3;0,462477653
MON03q4;0,461274109
MON05q1;0,547276021
MON05q2;0,462100321
MON05q3;0,52214624
MON05q4;0,487095631
MON09q1;0,550467742
MON09q2;0,482651896
MON09q3;0,42919043
MON09q4;0,438428156
MON10q1;0,658863801
MON10q2;0,459785315
MON10q3;0,461071567
MON10q4;0,537138361
MON11q1;0,457937022
MON11q2;0,496620295
MON11q3;0,491670929
MON11q4;0,474617563
MON13q1;0,649685981
MON13q2;0,589652871
MON13q3;0,533051705
MON13q4;0,598483975
MON14q1;0,44670632
MON14q2;0,428050098
MON14q3;0,478989347
MON14q4;0,378713805
MON19q1;0,505726801
MON19q2;0,58263825
MON19q3;0,526538679
MON19q4;0,417887715
MON20q1;0,540127308
MON20q2;0,40840671
MON20q3;0,411432722
MON20q4;0,375568819
MON21q1;0,5987
MON21q2;0
MON21q3;0,518019003
MON21q4;0,571673333
MON21Aq1;0,510500739
MON21Aq2;0,529494063
MON21Aq3;0,550746163
MON21Aq4;0,528070444
MON22q1;0,632020867
MON22q2;0,690852092
MON22q3;0,693589429
MON22q4;0,696610821
MON23q1;0,457841683
MON23q2;0,498095165
MON23q3;0,508354569
MON23q4;0,503995625
MAB01h;0,663147146
MAB02h;0,656649998
MAB03h;0,693588416
MAB04h;0,713588527
MAB05h;0,72720373
MAB06h;0,719755066
MAB07h;0,696105806
MAB08h;0,73036762
MAB09h;0,67802734
MAB10h;0,696110429
MAB11h;0,705835012
MAB12h;0,652724233
LOP01h;0
LOP02h;0,588526576
LOP03h;0,755353114
LOP07h;0,456916844
LOP08h;0,569507684
LOP09h;0,495564917
LOP10h;0,643684049
LOP11h;0,67800523
LOP12h;0,62854915
LPG01h;0,64020925
LPG02h;0,68771816
