dimension,eigenvalue,percentage of variance,cumulative percentage of variance
comp 1,13.098978906980417,50.3806881037708,50.3806881037708
comp 2,4.77414736161982,18.362105236999295,68.74279334077009
comp 3,2.287426116015271,8.797792753904883,77.54058609467498
comp 4,1.367502890975338,5.259626503751296,82.80021259842627
comp 5,1.2157157148475624,4.675829672490621,87.47604227091689
comp 6,1.0211350910399863,3.927442657846099,91.40348492876299
comp 7,0.7822507221256931,3.0086566235603565,94.41214155232335
comp 8,0.3380445378058616,1.300171299253313,95.71231285157667
comp 9,0.29905166327776406,1.1501987049144762,96.86251155649114
comp 10,0.22853177476619188,0.8789683644853528,97.74147992097649
comp 11,0.1566576696294576,0.6025294985748365,98.34400941955133
comp 12,0.10856346950186539,0.4175518057764051,98.76156122532774
comp 13,0.07845273741287537,0.3017412977418281,99.06330252306957
comp 14,0.06277896120706153,0.24145754310408263,99.30476006617364
comp 15,0.049603311682492726,0.19078196800958727,99.49554203418323
comp 16,0.044055338887494785,0.16944361110574907,99.66498564528898
comp 17,0.02804086979029318,0.10784949919343523,99.77283514448241
comp 18,0.0169067635782376,0.06502601376245226,99.83786115824486
comp 19,0.015283087927818271,0.05878110741468561,99.89664226565955
comp 20,0.00993510121294594,0.03821192774209975,99.93485419340165
comp 21,0.007072418819593645,0.027201610844590923,99.96205580424625
comp 22,0.00505318745843831,0.01943533637860887,99.98149114062485
comp 23,0.002838280264132021,0.010916462554353919,99.9924076031792
comp 24,0.0010813443235457214,0.004159016629022003,99.99656661980823
comp 25,8.083037721013286e-4,0.0031088606619281848,99.99967548047016
comp 26,8.437507776134881e-5,3.2451952985134135e-4,100.00000000000001
