metric;correlation_WD_mean;p_value_WD_mean;metric_label;rank_WD_mean;correlation_prop_ind_helio;p_value_prop_ind_helio;diff;abs_diff
prop_at_20m;-0,531828103125011;0,000000000291064758609756;Proportion de trouées à 20m;1;0,472420857935801;0,0000809959467028744;-1,004248961060812;1,004248961060812
decay_rate;0,483137372737927;0,000000017368461520491765;Taux de changement;2;-0,338315034065298;0,0062511064816458285;0,821452406803225;0,821452406803225
h90;0,475403855257234;0,000000031412014577875683;Hauteur à 90% de trouées;3;-0,387771537389944;0,0015460640149307656;0,863175392647178;0,863175392647178
GVN;-0,464104414311475;0,000000072749800251516457;Gradient Vertical Normalisé;4;0,413608154575719;0,0006809350166983468;-0,877712568887194;0,877712568887194
prop_at_15m;-0,460124617073080;0,000000097094192783318882;Proportion de trouées à 15m;5;NA;NA;NA;NA
upper_thickness;-0,459934321207627;0,000000098434570998008374;Épaisseur zone supérieure;6;0,395776690365241;0,0012075741134836100;-0,855711011572868;0,855711011572868
h75;0,459092974890702;0,000000104575568732105801;Hauteur à 75% de trouées;7;-0,395105479441616;0,0012331454556041921;0,854198454332318;0,854198454332318
min_d2;0,455707053312189;0,000000133195968261396260;Décélération maximale;8;-0,465698028802738;0,0001053999274749056;0,921405082114926;0,921405082114926
ROS;0,450428627591532;0,000000193207855959943520;Ratio d'Occupation Stratifiée;9;-0,398608015267815;0,0011048848537289289;0,849036642859348;0,849036642859348
auc;-0,436745633686399;0,000000492373004364299711;Aire sous la courbe;10;0,387146017600853;0,0015758007142232632;-0,823891651287252;0,823891651287252
prop_at_10m;-0,432314960894888;0,000000660819877433255858;Proportion de trouées à 10m;11;NA;NA;NA;NA
h50;0,416934294545231;0,000001777737202786535099;Hauteur à 50% de trouées;12;-0,359072489644499;0,0035704191702954275;0,776006784189731;0,776006784189731
max_d1;-0,411652554957086;0,000002469592636791008924;Pente maximale;13;0,407887212591998;0,0008211621137603650;-0,819539767549085;0,819539767549085
IDT;0,390414196458760;0,000008764088705808582394;Indice de Différenciation Transitionnelle;14;NA;NA;NA;NA
Smax;-0,385555405034432;0,000011569405930532149137;Pente maximale;15;0,339933763564932;0,0059918083825219477;-0,725489168599364;0,725489168599364
h25;0,384676239140815;0,000012159904755691327777;Hauteur à 25% de trouées;16;-0,325359077543411;0,0087065057433168350;0,710035316684226;0,710035316684226
log_max_d1;-0,383901437553455;0,000012703738335181803613;Log pente maximale;17;0,382026199532569;0,0018391669275018693;-0,765927637086025;0,765927637086025
basal_thickness;0,382726293423715;0,000013572483852914584188;Épaisseur zone basale;18;-0,326705880806888;0,0084171075343473702;0,709432174230603;0,709432174230603
height_min_d2;0,375210257027858;0,000020597141593658753738;Hauteur à décélération max;19;NA;NA;NA;NA
anisotropy_squared;0,373702702344867;0,000022366936600569801486;Anisotropie au carré;20;NA;NA;NA;NA
max_d2;NA;NA;Accélération maximale;NA;0,423932053833196;0,0004815849909342511;NA;NA
ICV;NA;NA;Indice de Complexité Verticale;NA;-0,404808274372989;0,0009069962719911955;NA;NA
h50_squared;NA;NA;h50 au carré;NA;-0,362518721469642;0,0032417018195341693;NA;NA
anisotropy_mean;NA;NA;Anisotropie moyenne;NA;-0,354625147336507;0,0040381596582575322;NA;NA
height_max_anisotropy;NA;NA;Hauteur d'anisotropie maximale;NA;-0,330196125200782;0,0077058495473572150;NA;NA
