species_full;WD_CoFor;n_samples_CoFor
Afzelia bipindensis;0,726054139610389;1
Albizia adianthifolia;0,45105;5
Allanblackia floribunda;0,524035714;2
Alstonia boonei;0,298032142857143;10
Amphimas pterocarpoides;0,71115;5
Annickia chlorantha;0,471867857142857;2
Anonidium mannii;0,287785714;12
Anopyxis klaineana;0,725491785714286;4
Antrocaryon klaineanum;0,466863392857143;1
Antrocaryon micraster;0,423242857;1
Aoranthe cladantha;0,744542857;2
Aucoumea klaineana;0,385292410714286;21
Baillonella toxisperma;0,728932738095238;1
Blighia welwitschii;0,7177625;2
Calpocalyx heitzii;0,675280178571429;2
Canarium schweinfurthii;0,418418839285714;1
Carapa procera;0,701592857;1
Celtis mildbraedii;0,599768675595238;8
Celtis tessmannii;0,620477287946429;6
Celtis zenkeri;0,689583630952381;1
Chrysophyllum africanum;0,611678954081632;1
Chrysophyllum lacourtianum;0,600428571;4
Cleistopholis glauca;0,29896625;2
Coelocaryon preussii;0,446072321428571;10
Corynanthe pachyceras;0,650621428571428;5
Coula edulis;0,848985883458647;8
Cylicodiscus gabunensis;0,76792601010101;1
Dacryodes igaganga;0,508674489795918;1
Dialium bipindense;0,927257143;26
Diogoa zenkeri;0,668422767857143;7
Discoglypremna caloneura;0,336992857142857;2
Drypetes gossweileri;0,642428571428571;3
Duguetia staudtii;0,628683035714286;6
Entandrophragma cylindricum;0,572666900510204;7
Erismadelphus exsul;0,568226275510204;1
Erythrophleum suaveolens;0,801270982142857;6
Erythroxylum mannii;0,551688839285714;1
Gilbertiodendron dewevrei;0,673037012987013;10
Hallea ledermannii;0,459446429;6
Hexalobus crispiflorus;0,452595089285714;2
Holoptelea grandis;0,545326488095238;2
Hylodendron gabunense;0,721138393;10
Irvingia gabonensis;0,743271428571428;6
Irvingia grandifolia;0,740613690476191;4
Khaya grandifoliola;0,552506071428571;1
Klainedoxa gabonensis;0,867277976190476;9
Lannea welwitschii;0,421412797619048;5
Lecomtedoxa klaineana;0,810810602678571;2
Lophira alata;0,863716018009768;2
Lovoa trichilioides;0,439529655612245;1
Maesopsis eminii;0,445532738095238;1
Mansonia altissima;0,549609064039409;6
Maranthes glabra;0,7889;4
Markhamia tomentosa;0,4539375;2
Milicia excelsa;0,547263555194805;3
Musanga cecropioides;0,249775446428571;17
Nauclea diderrichii;0,6268625;2
Odyendea gabunensis;0,319776786;4
Ongokea gore;0,714635044642857;3
Parinari excelsa;0,704027083333334;2
Pentaclethra macrophylla;0,793088392857143;10
Petersianthus macrocarpus;0,662423571428571;28
Plagiostyles africana;0,688427679;12
Pouteria altissima;0,4699;2
Pteleopsis hylodendron;0,652317261904762;2
Pterocarpus soyauxii;0,664774404761905;11
Pterygota macrocarpa;0,493406696428571;2
Pycnanthus angolensis;0,414118303571429;16
Ricinodendron heudelotii;0,216198214285715;3
Sacoglottis gabonensis;0,729130357142857;12
Santiria trimera;0,520714285714286;5
Scorodophloeus zenkeri;0,732388392857143;4
Scottellia klaineana;0,551687094155844;3
Scytopetalum klaineanum;0,661950357142857;3
Staudtia kamerunensis;0,743856221198157;13
Sterculia rhinopetala;0,693583482142857;1
Strombosia grandifolia;0,831499702380952;10
Trichilia tessmannii;0,495810714;4
Triplochiton scleroxylon;0,326811383928572;10
Uapaca guineensis;0,5388875;18
Uapaca heudelotii;0,605221428571428;1
Uapaca paludosa;0,612614286;4
Xylopia aethiopica;0,535483214285714;11
Xylopia hypolampra;0,678183035714286;5
Xylopia quintasii;0,692625;10
Zanthoxylum gilletii;0,717140476190476;4
